"","Municipality","Fertility.Rate","socio_economic_class","Age","Children","Age_Group"
"233","Aalborg",1.52289809935722,"3",49,1,"3034"
"234","Aalborg",1.96913995674025,"2",49,2,"2024"
"235","Aalborg",1.96913995674025,"2",49,2,"3034"
"236","Aalborg",1.54250261445557,"2",49,5,"2024"
"237","Aalborg",1.54250261445557,"2",49,5,"2024"
"238","Aalborg",1.54250261445557,"2",49,5,"2529"
"239","Aalborg",1.54250261445557,"2",49,5,"3034"
"240","Aalborg",1.54250261445557,"2",49,5,"4044"
"241","Aalborg",1.49868349132995,"1",49,3,"2024"
"242","Aalborg",1.49868349132995,"1",49,3,"2024"
"243","Aalborg",1.49868349132995,"1",49,3,"2529"
"244","Aalborg",1.53862794687749,"2",49,3,"2529"
"245","Aalborg",1.53862794687749,"2",49,3,"3034"
"246","Aalborg",1.53862794687749,"2",49,3,"3034"
"247","Aalborg",1.28247275831364,"1",49,4,"2529"
"248","Aalborg",1.28247275831364,"1",49,4,"3539"
"249","Aalborg",1.28247275831364,"1",49,4,"3539"
"250","Aalborg",1.28247275831364,"1",49,4,"3539"
"251","Aalborg",1.41653377976498,"3",49,3,"1519"
"252","Aalborg",1.41653377976498,"3",49,3,"2529"
"253","Aalborg",1.41653377976498,"3",49,3,"3034"
"254","Aalborg",1.57482985054938,"3",49,3,"3034"
"255","Aalborg",1.57482985054938,"3",49,3,"3034"
"256","Aalborg",1.57482985054938,"3",49,3,"3539"
"257","Aalborg",1.63474830840762,"3",49,1,"3034"
"258","Aalborg",1.31184244839506,"3",49,1,"2529"
"259","Aalborg",1.85726950035383,"1",49,4,"2529"
"260","Aalborg",1.85726950035383,"1",49,4,"3034"
"261","Aalborg",1.85726950035383,"1",49,4,"3034"
"262","Aalborg",1.85726950035383,"1",49,4,"4044"
"263","Aalborg",1.58786990281426,"3",49,4,"2529"
"264","Aalborg",1.58786990281426,"3",49,4,"2529"
"265","Aalborg",1.58786990281426,"3",49,4,"3034"
"266","Aalborg",1.58786990281426,"3",49,4,"3539"
"267","Aalborg",1.63444244363482,"3",49,2,"3034"
"268","Aalborg",1.63444244363482,"3",49,2,"3034"
"269","Aalborg",1.45974303422952,"2",49,1,"3539"
"270","Aalborg",1.47031457648099,"3",49,5,"3034"
"271","Aalborg",1.47031457648099,"3",49,5,"3034"
"272","Aalborg",1.47031457648099,"3",49,5,"3034"
"273","Aalborg",1.47031457648099,"3",49,5,"3539"
"274","Aalborg",1.47031457648099,"3",49,5,"4044"
"275","Aalborg",1.67662517097742,"3",49,2,"2529"
"276","Aalborg",1.67662517097742,"3",49,2,"3034"
"277","Aalborg",1.42851275714208,"3",49,3,"2024"
"278","Aalborg",1.42851275714208,"3",49,3,"3034"
"279","Aalborg",1.42851275714208,"3",49,3,"4044"
"280","Aalborg",1.35783957297086,"3",49,2,"2529"
"281","Aalborg",1.35783957297086,"3",49,2,"3034"
"282","Aalborg",1.78565854717156,"3",49,1,"2024"
"283","Aalborg",1.57925090074923,"3",49,2,"2024"
"284","Aalborg",1.57925090074923,"3",49,2,"2529"
"285","Aalborg",1.60409310333267,"3",49,3,"2529"
"286","Aalborg",1.60409310333267,"3",49,3,"3539"
"287","Aalborg",1.60409310333267,"3",49,3,"3539"
