Municipality,Fertility Rate,socio_economic_class,Age,Children,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Aalborg,1.5279700232234843,2,49,5,0,1,2,1,0,1,0
Aalborg,1.4235325325709542,3,49,3,0,0,1,2,0,0,0
Aalborg,1.5391985986395897,3,49,2,0,0,1,1,0,0,0
Aalborg,1.4955294439406983,1,49,0,0,0,0,0,0,0,0
Aalborg,1.6135235687579628,3,49,4,0,0,1,2,1,0,0
Aalborg,1.6620687942549397,3,49,3,0,0,1,1,0,1,0
Aalborg,1.7785457821723276,3,49,1,1,0,0,0,0,0,0
Aalborg,1.3235934723227756,2,49,3,0,1,1,1,0,0,0
Aalborg,1.535567641890135,3,49,2,0,0,0,2,0,0,0
Aalborg,1.496393201760182,1,49,4,0,1,2,1,0,0,0
Aalborg,1.9633757409897605,3,49,1,0,0,1,0,0,0,0
Aalborg,1.7920700892440529,3,49,3,0,0,1,1,1,0,0
Aalborg,1.4280619642240726,3,49,2,0,0,1,1,0,0,0
Aalborg,1.7013163216291844,3,49,0,0,0,0,0,0,0,0
Aalborg,1.3227096772396165,3,49,4,0,1,1,1,1,0,0
Aalborg,1.6925465653934366,3,49,3,0,0,2,0,1,0,0
Aalborg,1.5019255778232348,3,49,3,0,0,2,1,0,0,0
Aalborg,1.6575623672781474,3,49,0,0,0,0,0,0,0,0
Aalborg,1.6135963895398586,2,49,2,0,1,1,0,0,0,0
Aalborg,1.531111121728846,1,49,3,0,0,1,2,0,0,0
Aalborg,1.75150346790383,3,49,2,0,0,1,0,1,0,0
Aalborg,1.4692324129748597,2,49,3,0,1,2,0,0,0,0
Aalborg,1.677578311090388,2,49,2,0,1,0,0,0,1,0
Aalborg,1.7919034722271139,3,49,5,0,1,1,2,1,0,0
Aalborg,1.5662445266891567,1,49,3,0,0,1,1,1,0,0
Aalborg,1.6333277712118315,1,49,2,0,0,1,1,0,0,0
Aalborg,1.6669987675601803,3,49,1,0,0,0,0,1,0,0
Aalborg,1.5679198225116886,3,49,3,0,1,0,1,1,0,0
Aalborg,1.8712526190180687,3,49,1,0,0,0,1,0,0,0
Aalborg,1.6655156526831227,1,49,0,0,0,0,0,0,0,0
Aalborg,1.4153371973271553,3,49,2,0,0,2,0,0,0,0
Aalborg,1.780204157614243,3,49,2,0,0,0,1,0,1,0
Aalborg,1.4481655298506315,1,49,2,0,0,0,1,1,0,0
Aalborg,1.7851817148869258,1,49,0,0,0,0,0,0,0,0
Aalborg,1.5787313587103269,3,49,3,0,1,0,1,1,0,0
Aalborg,1.6359436631391544,3,49,1,0,0,0,1,0,0,0
Aalborg,1.5140247473223254,3,49,2,0,0,1,1,0,0,0
Aalborg,1.5524845899031234,2,49,1,0,0,0,1,0,0,0
Aalborg,1.5712293111754059,3,49,3,0,0,0,1,2,0,0
Aalborg,1.4950894032317492,1,49,2,0,1,0,1,0,0,0
Aalborg,1.4960377619986465,3,49,4,0,0,1,3,0,0,0
Aalborg,1.534818086666624,3,49,1,0,0,0,1,0,0,0
Aalborg,1.381880559346842,3,49,4,0,0,1,3,0,0,0
Aalborg,1.6965651253068015,3,49,1,0,0,1,0,0,0,0
Aalborg,1.3320882868882105,1,49,3,0,1,1,0,1,0,0
Aalborg,1.486265351898502,3,49,5,0,1,1,1,2,0,0
Aalborg,1.849154477866261,3,49,0,0,0,0,0,0,0,0
Aalborg,1.6077343892472895,3,49,4,0,0,0,2,2,0,0
Aalborg,1.345771760107962,1,49,2,0,1,1,0,0,0,0
Aalborg,1.3863881744858308,2,49,2,0,0,1,0,1,0,0
Aalborg,1.5675618138525373,1,49,1,0,0,1,0,0,0,0
Aalborg,1.538071764439996,2,49,1,0,0,1,0,0,0,0
Aalborg,1.8269829747983277,1,49,2,0,0,2,0,0,0,0
Aalborg,1.5965850547610547,3,49,3,0,0,0,1,2,0,0
Aalborg,1.718438394230271,2,49,1,0,0,0,0,1,0,0
Aalborg,1.5801143388748353,3,49,1,0,0,1,0,0,0,0
Aalborg,1.4878068383557033,3,49,0,0,0,0,0,0,0,0
Aalborg,1.7087664850602824,2,49,1,0,1,0,0,0,0,0
Aalborg,1.9905640981035801,2,49,1,0,0,1,0,0,0,0
Aalborg,1.5833287124983535,3,49,2,0,0,2,0,0,0,0
Aalborg,1.3611907661745684,2,49,1,0,0,0,1,0,0,0
Aalborg,1.8088580675760155,3,49,2,0,1,1,0,0,0,0
Aalborg,1.4179679238565723,3,49,0,0,0,0,0,0,0,0
Aalborg,1.5581710870002574,1,49,0,0,0,0,0,0,0,0
Aalborg,1.6336332799539002,2,49,1,0,0,0,1,0,0,0
Aalborg,1.8400012880472623,1,49,0,0,0,0,0,0,0,0
Aalborg,1.5476582502702096,3,49,2,0,0,2,0,0,0,0
Aalborg,1.6180665871949755,2,49,0,0,0,0,0,0,0,0
Aalborg,1.7943872527897446,3,49,2,0,0,1,1,0,0,0
Aalborg,1.594406012538767,3,49,2,0,0,1,0,1,0,0
Aalborg,1.6792383171880285,3,49,1,0,0,0,1,0,0,0
Aalborg,1.3786783522685746,3,49,1,0,0,1,0,0,0,0
