Municipality,Fertility Rate,socio_economic_class,Age,Children,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Aalborg,1.5229332050728155,1,49,3,0,1,1,1,0,0,0
Aalborg,1.6639820582849987,3,49,3,0,0,0,1,2,0,0
Aalborg,1.6579908331235909,3,49,3,0,1,1,0,1,0,0
Aalborg,1.4987783550960905,1,49,1,0,0,0,1,0,0,0
Aalborg,1.6403674328070137,2,49,1,0,0,1,0,0,0,0
Aalborg,1.5927067118694762,1,49,4,0,0,2,0,1,1,0
Aalborg,1.7293359800021164,3,49,1,0,0,0,1,0,0,0
Aalborg,1.5971242253585534,3,49,4,0,0,2,0,2,0,0
Aalborg,1.4256468907102642,3,49,1,0,0,0,1,0,0,0
Aalborg,1.6061405244140257,3,49,1,0,0,0,1,0,0,0
Aalborg,1.378012149940459,1,49,1,0,0,0,0,1,0,0
Aalborg,1.4794040253724707,3,49,1,0,0,0,1,0,0,0
Aalborg,1.764642930858522,2,49,0,0,0,0,0,0,0,0
Aalborg,1.3794188587519582,2,49,3,1,0,1,0,1,0,0
Aalborg,1.5736888392052772,1,49,3,1,1,0,1,0,0,0
Aalborg,1.2987777724583007,2,49,3,1,0,2,0,0,0,0
Aalborg,1.5197101644242843,3,49,1,0,0,0,1,0,0,0
Aalborg,1.5303297417705402,3,49,2,0,0,1,1,0,0,0
Aalborg,1.6201420840855036,2,49,2,0,1,0,1,0,0,0
Aalborg,1.6063010961399198,3,49,2,0,0,1,1,0,0,0
Aalborg,1.3616941782121017,3,49,2,0,1,0,1,0,0,0
Aalborg,1.7939109963275541,3,49,3,0,0,0,2,1,0,0
Aalborg,1.4855377377835421,3,49,1,0,0,0,1,0,0,0
Aalborg,1.7050073037617903,3,49,2,1,0,1,0,0,0,0
Aalborg,1.7671458974463108,1,49,0,0,0,0,0,0,0,0
Aalborg,1.846626232939474,3,49,2,0,0,2,0,0,0,0
Aalborg,1.5677167598394708,3,49,1,0,0,1,0,0,0,0
Aalborg,1.6207983376862565,3,49,1,0,1,0,0,0,0,0
Aalborg,1.7697580294755417,3,49,0,0,0,0,0,0,0,0
Aalborg,1.8992171576599943,3,49,2,0,1,0,0,1,0,0
Aalborg,1.8373149401571958,3,49,0,0,0,0,0,0,0,0
Aalborg,1.56849598430798,2,49,5,0,1,1,1,2,0,0
Aalborg,1.5973555992871953,3,49,2,0,0,1,1,0,0,0
Aalborg,1.7759262554844981,3,49,2,0,0,1,1,0,0,0
Aalborg,1.5195255601241004,1,49,2,0,0,1,0,1,0,0
Aalborg,1.6673527182364831,2,49,3,0,1,1,0,1,0,0
Aalborg,2.135178171194117,3,49,2,0,0,1,1,0,0,0
Aalborg,1.7155609589636505,2,49,2,0,0,1,0,0,1,0
Aalborg,1.6844270989636276,2,49,3,0,1,0,2,0,0,0
Aalborg,1.6999365836228997,3,49,2,0,0,2,0,0,0,0
Aalborg,1.5250273673082309,3,49,6,0,0,2,3,1,0,0
Aalborg,1.3595443514422452,1,49,2,0,1,1,0,0,0,0
Aalborg,1.42049621474462,3,49,3,0,0,1,2,0,0,0
Aalborg,1.7734315962256522,3,49,2,0,0,1,1,0,0,0
Aalborg,1.7354993417184583,1,49,1,0,0,0,1,0,0,0
Aalborg,1.4467886851771692,2,49,3,0,0,0,1,2,0,0
Aalborg,1.4200730440055929,3,49,4,0,0,1,2,1,0,0
Aalborg,1.5026259979729557,1,49,4,0,0,1,3,0,0,0
Aalborg,1.5823693266784127,3,49,3,0,0,2,1,0,0,0
Aalborg,1.4430785218462179,2,49,1,0,0,0,0,1,0,0
Aalborg,1.595010951245038,2,49,2,0,0,0,0,1,1,0
Aalborg,1.5655859618233499,3,49,0,0,0,0,0,0,0,0
Aalborg,1.5011077612710353,3,49,0,0,0,0,0,0,0,0
Aalborg,1.400350115307911,1,49,0,0,0,0,0,0,0,0
Aalborg,1.4763514589712654,3,49,0,0,0,0,0,0,0,0
Aalborg,1.4741639929701653,3,49,4,0,0,3,0,1,0,0
Aalborg,1.406752150190898,2,49,2,0,0,2,0,0,0,0
Aalborg,1.2821067984186636,1,49,2,0,0,2,0,0,0,0
Aalborg,1.7802998833131396,3,49,2,0,1,0,1,0,0,0
Aalborg,1.7762806714762391,3,49,4,2,0,0,2,0,0,0
Aalborg,1.762514089927711,2,49,2,0,0,0,2,0,0,0
Aalborg,1.2389035222480658,3,49,2,0,1,1,0,0,0,0
Aalborg,1.4983291827541612,2,49,1,0,0,0,0,1,0,0
Aalborg,1.5489821469252345,3,49,1,0,0,1,0,0,0,0
Aalborg,1.6650272933836479,2,49,3,0,0,0,2,0,1,0
Aalborg,1.6926967653723324,2,49,3,0,0,1,2,0,0,0
Aalborg,1.6624797396750766,3,49,1,0,0,1,0,0,0,0
Aalborg,1.4815804780623165,2,49,4,0,1,2,1,0,0,0
Aalborg,1.7061313510607234,1,49,3,0,0,2,1,0,0,0
Aalborg,1.766665659505106,1,49,3,0,1,1,1,0,0,0
Aalborg,1.5999462445100685,2,49,2,0,1,0,0,0,0,1
Aalborg,1.6299689527160084,3,49,0,0,0,0,0,0,0,0
Aalborg,1.4750440299534735,3,49,6,0,1,2,2,1,0,0
Aalborg,1.4756360291006938,3,49,1,0,0,1,0,0,0,0
Aalborg,1.5962774742490666,2,49,2,0,0,2,0,0,0,0
Aalborg,1.3883391681289272,1,49,2,0,0,1,1,0,0,0
Aalborg,1.7830889074088794,3,49,4,0,0,3,1,0,0,0
Aalborg,1.4768016996237,3,49,5,0,0,2,1,2,0,0
Aalborg,1.567579305381255,1,49,2,0,0,1,1,0,0,0
Aalborg,1.6854029786304965,3,49,1,0,0,1,0,0,0,0
Aalborg,1.8966907757742675,2,49,1,0,0,0,1,0,0,0
Aalborg,1.6654124211995125,1,49,0,0,0,0,0,0,0,0
Aalborg,1.759619541316499,3,49,1,0,0,0,0,1,0,0
Aalborg,1.6780682791647925,1,49,0,0,0,0,0,0,0,0
Aalborg,1.7095369883479952,1,49,2,0,1,1,0,0,0,0
Aalborg,1.627621160843796,3,49,1,0,0,0,0,1,0,0
Aalborg,1.8119673272780255,2,49,2,0,0,1,1,0,0,0
Aalborg,1.5538602418119765,3,49,3,0,0,2,1,0,0,0
