"","Municipality","Fertility.Rate","socio_economic_class","Age","Children","Age_Group"
"318","Aalborg",1.32270967723962,"3",49,4,"3034"
"319","Aalborg",1.32270967723962,"3",49,4,"3539"
"320","Aalborg",1.69254656539344,"3",49,3,"2529"
"321","Aalborg",1.69254656539344,"3",49,3,"2529"
"322","Aalborg",1.69254656539344,"3",49,3,"3539"
"323","Aalborg",1.50192557782323,"3",49,3,"2529"
"324","Aalborg",1.50192557782323,"3",49,3,"2529"
"325","Aalborg",1.50192557782323,"3",49,3,"3034"
"326","Aalborg",1.61359638953986,"2",49,2,"2024"
"327","Aalborg",1.61359638953986,"2",49,2,"2529"
"328","Aalborg",1.53111112172885,"1",49,3,"2529"
"329","Aalborg",1.53111112172885,"1",49,3,"3034"
"330","Aalborg",1.53111112172885,"1",49,3,"3034"
"331","Aalborg",1.75150346790383,"3",49,2,"2529"
"332","Aalborg",1.75150346790383,"3",49,2,"3539"
"333","Aalborg",1.46923241297486,"2",49,3,"2024"
"334","Aalborg",1.46923241297486,"2",49,3,"2529"
"335","Aalborg",1.46923241297486,"2",49,3,"2529"
"336","Aalborg",1.67757831109039,"2",49,2,"2024"
"337","Aalborg",1.67757831109039,"2",49,2,"4044"
"338","Aalborg",1.79190347222711,"3",49,5,"2024"
"339","Aalborg",1.79190347222711,"3",49,5,"2529"
"340","Aalborg",1.79190347222711,"3",49,5,"3034"
"341","Aalborg",1.79190347222711,"3",49,5,"3034"
"342","Aalborg",1.79190347222711,"3",49,5,"3539"
"343","Aalborg",1.56624452668916,"1",49,3,"2529"
"344","Aalborg",1.56624452668916,"1",49,3,"3034"
"345","Aalborg",1.56624452668916,"1",49,3,"3539"
"346","Aalborg",1.63332777121183,"1",49,2,"2529"
"347","Aalborg",1.63332777121183,"1",49,2,"3034"
"348","Aalborg",1.66699876756018,"3",49,1,"3539"
"349","Aalborg",1.56791982251169,"3",49,3,"2024"
"350","Aalborg",1.56791982251169,"3",49,3,"3034"
"351","Aalborg",1.56791982251169,"3",49,3,"3539"
"352","Aalborg",1.87125261901807,"3",49,1,"3034"
"353","Aalborg",1.41533719732716,"3",49,2,"2529"
"354","Aalborg",1.41533719732716,"3",49,2,"2529"
"355","Aalborg",1.78020415761424,"3",49,2,"3034"
"356","Aalborg",1.78020415761424,"3",49,2,"4044"
"357","Aalborg",1.44816552985063,"1",49,2,"3034"
"358","Aalborg",1.44816552985063,"1",49,2,"3539"
"359","Aalborg",1.57873135871033,"3",49,3,"2024"
"360","Aalborg",1.57873135871033,"3",49,3,"3034"
"361","Aalborg",1.57873135871033,"3",49,3,"3539"
"362","Aalborg",1.63594366313915,"3",49,1,"3034"
"363","Aalborg",1.51402474732233,"3",49,2,"2529"
"364","Aalborg",1.51402474732233,"3",49,2,"3034"
"365","Aalborg",1.55248458990312,"2",49,1,"3034"
"366","Aalborg",1.57122931117541,"3",49,3,"3034"
"367","Aalborg",1.57122931117541,"3",49,3,"3539"
"368","Aalborg",1.57122931117541,"3",49,3,"3539"
"369","Aalborg",1.49508940323175,"1",49,2,"2024"
"370","Aalborg",1.49508940323175,"1",49,2,"3034"
"371","Aalborg",1.49603776199865,"3",49,4,"2529"
"372","Aalborg",1.49603776199865,"3",49,4,"3034"
"373","Aalborg",1.49603776199865,"3",49,4,"3034"
"374","Aalborg",1.49603776199865,"3",49,4,"3034"
"375","Aalborg",1.53481808666662,"3",49,1,"3034"
"376","Aalborg",1.38188055934684,"3",49,4,"2529"
"377","Aalborg",1.38188055934684,"3",49,4,"3034"
"378","Aalborg",1.38188055934684,"3",49,4,"3034"
"379","Aalborg",1.38188055934684,"3",49,4,"3034"
"380","Aalborg",1.6965651253068,"3",49,1,"2529"
"381","Aalborg",1.33208828688821,"1",49,3,"2024"
"382","Aalborg",1.33208828688821,"1",49,3,"2529"
"383","Aalborg",1.33208828688821,"1",49,3,"3539"
"384","Aalborg",1.4862653518985,"3",49,5,"2024"
"385","Aalborg",1.4862653518985,"3",49,5,"2529"
"386","Aalborg",1.4862653518985,"3",49,5,"3034"
"387","Aalborg",1.4862653518985,"3",49,5,"3539"
"388","Aalborg",1.4862653518985,"3",49,5,"3539"
"389","Aalborg",1.60773438924729,"3",49,4,"3034"
"390","Aalborg",1.60773438924729,"3",49,4,"3034"
"391","Aalborg",1.60773438924729,"3",49,4,"3539"
"392","Aalborg",1.60773438924729,"3",49,4,"3539"
"393","Aalborg",1.34577176010796,"1",49,2,"2024"
"394","Aalborg",1.34577176010796,"1",49,2,"2529"
"395","Aalborg",1.38638817448583,"2",49,2,"2529"
"396","Aalborg",1.38638817448583,"2",49,2,"3539"
"397","Aalborg",1.56756181385254,"1",49,1,"2529"
"398","Aalborg",1.53807176444,"2",49,1,"2529"
"399","Aalborg",1.82698297479833,"1",49,2,"2529"
"400","Aalborg",1.82698297479833,"1",49,2,"2529"
"401","Aalborg",1.59658505476105,"3",49,3,"3034"
"402","Aalborg",1.59658505476105,"3",49,3,"3539"
"403","Aalborg",1.59658505476105,"3",49,3,"3539"
"404","Aalborg",1.71843839423027,"2",49,1,"3539"
"405","Aalborg",1.58011433887484,"3",49,1,"2529"
"406","Aalborg",1.70876648506028,"2",49,1,"2024"
"407","Aalborg",1.99056409810358,"2",49,1,"2529"
"408","Aalborg",1.58332871249835,"3",49,2,"2529"
"409","Aalborg",1.58332871249835,"3",49,2,"2529"
"410","Aalborg",1.36119076617457,"2",49,1,"3034"
"411","Aalborg",1.80885806757602,"3",49,2,"2024"
"412","Aalborg",1.80885806757602,"3",49,2,"2529"
"413","Aalborg",1.6336332799539,"2",49,1,"3034"
"414","Aalborg",1.54765825027021,"3",49,2,"2529"
"415","Aalborg",1.54765825027021,"3",49,2,"2529"
"416","Aalborg",1.79438725278974,"3",49,2,"2529"
"417","Aalborg",1.79438725278974,"3",49,2,"3034"
"418","Aalborg",1.59440601253877,"3",49,2,"2529"
"419","Aalborg",1.59440601253877,"3",49,2,"3539"
"420","Aalborg",1.67923831718803,"3",49,1,"3034"
"421","Aalborg",1.37867835226857,"3",49,1,"2529"
"422","Aalborg",1.75206388513467,"3",49,2,"2024"
"423","Aalborg",1.75206388513467,"3",49,2,"3034"
"424","Aalborg",1.53604408787454,"1",49,3,"2024"
"425","Aalborg",1.53604408787454,"1",49,3,"3034"
"426","Aalborg",1.53604408787454,"1",49,3,"4044"
"427","Aalborg",1.69286228824539,"2",49,2,"3034"
"428","Aalborg",1.69286228824539,"2",49,2,"3034"
"429","Aalborg",1.53803693287623,"2",49,3,"2529"
"430","Aalborg",1.53803693287623,"2",49,3,"2529"
"431","Aalborg",1.53803693287623,"2",49,3,"3034"
"432","Aalborg",1.58663886340909,"3",49,2,"2529"
"433","Aalborg",1.58663886340909,"3",49,2,"2529"
"434","Aalborg",1.70119428991843,"1",49,3,"2529"
"435","Aalborg",1.70119428991843,"1",49,3,"3034"
"436","Aalborg",1.70119428991843,"1",49,3,"3539"
"437","Aalborg",1.50354278763,"2",49,3,"2529"
"438","Aalborg",1.50354278763,"2",49,3,"2529"
"439","Aalborg",1.50354278763,"2",49,3,"3034"
"440","Aalborg",1.49192525671999,"3",49,3,"2529"
"441","Aalborg",1.49192525671999,"3",49,3,"3034"
"442","Aalborg",1.49192525671999,"3",49,3,"3539"
"443","Aalborg",1.42664547240243,"1",49,1,"3034"
"444","Aalborg",1.60443133576185,"1",49,1,"3034"
"445","Aalborg",1.56305710771127,"3",49,1,"3034"
"446","Aalborg",1.81293753158798,"1",49,2,"2529"
"447","Aalborg",1.81293753158798,"1",49,2,"3034"
"448","Aalborg",1.54157088258385,"1",49,5,"2024"
"449","Aalborg",1.54157088258385,"1",49,5,"2529"
"450","Aalborg",1.54157088258385,"1",49,5,"2529"
"451","Aalborg",1.54157088258385,"1",49,5,"3034"
"452","Aalborg",1.54157088258385,"1",49,5,"4044"
"453","Aalborg",1.58898224150206,"2",49,3,"2529"
"454","Aalborg",1.58898224150206,"2",49,3,"3034"
"455","Aalborg",1.58898224150206,"2",49,3,"3539"
"456","Aalborg",1.68515749346622,"3",49,2,"2529"
"457","Aalborg",1.68515749346622,"3",49,2,"2529"
"458","Aalborg",1.35503802448586,"1",49,1,"2529"
"459","Aalborg",1.7875039040846,"2",49,3,"2024"
"460","Aalborg",1.7875039040846,"2",49,3,"2529"
"461","Aalborg",1.7875039040846,"2",49,3,"3539"
"462","Aalborg",1.37627609321829,"1",49,2,"2529"
"463","Aalborg",1.37627609321829,"1",49,2,"3034"
"464","Aalborg",1.67267560993481,"3",49,1,"3034"
"465","Aalborg",1.89818725714257,"2",49,3,"2529"
"466","Aalborg",1.89818725714257,"2",49,3,"3034"
"467","Aalborg",1.89818725714257,"2",49,3,"3539"
"468","Aalborg",1.92441585339464,"1",49,1,"2529"
"469","Aalborg",1.77768403626925,"3",49,1,"3539"
"470","Aalborg",1.75156006426824,"3",49,2,"2529"
"471","Aalborg",1.75156006426824,"3",49,2,"2529"
"472","Aalborg",1.77463393146996,"3",49,1,"2529"
"473","Aalborg",1.60762101208772,"2",49,2,"2024"
